student_id,hours_studied,attendance_rate,sleep_hours,previous_score,parental_education,extracurricular,gender,passed
1273,7.3,87.6,5.1,55.7,None,no,Male,0
1031,3.8,87.7,6.2,67.1,Bachelor,Yes,Female,1
1367,5.4,83.4,6.5,80.5,High School,No,Female,1
1264,3.0,78.8,5.3,41.0,Bachelor,No,Male,1
1163,7.3,79.6,4.7,33.2,Master,Yes,M,0
1182,3.3,66.5,8.3,64.6,Bachelor,Yes,Female,0
1009,4.1,80.6,7.9,66.3,BACHELOR,No,Male,0
1358,4.4,85.7,7.0,61.2,High School,no,Male,0
1178,7.9,101.0,6.4,87.8,High School,no,Female,0
1220,5.2,79.3%,9.3,58.5,HIGH SCHOOL,No,Male,1
1026,5.2,58.3,7.1,81.3,BACHELOR,Yes,Female,1
1409,5.2,87.7,6.1,47.1,Master,no,Female,0
1128,3.9,78.5%,5.5,84.2,High School,Yes,Male,1
1097,5.6,76.8,6.6,74.3,High School,Yes,Female,0
1458,2.9,85.5,7.0,112.1,MASTER,no,Male,1
1473,2.0,90.1%,6.3,74.8,HIGH SCHOOL,Yes,Male,1
1389,6.9,87.1,6.5,57.9,Master,yes,Male,0
1293,3.8,83.3%,6.5,62.6,Bachelor,No,Female,0
1013,5.5,77.1,9.2,54.2,Master,Yes,Male,1
1303,6.5,81.2,6.3,54.4,Bachelor,yes,Male,1
1051,5.6,81.0%,5.7,63.5,High School,Yes,Male,1
1057,3.3,74.1%,6.5,78.7,High School,Yes,Male,1
1001,6.0,91.1,8.3,76.7,Bachelor,Yes,Male,1
1307,7.6,82.7%,6.5,69.0,High School,Yes,F,0
1214,6.3,84.8,7.7,77.7,,No,F,0
1347,2.1,83.5,3.2,84.0,High School,No,female,1
1390,3.8,93.3,5.5,64.8,BACHELOR,No,M,0
1028,5.8,80.6,6.7,88.1,Bachelor,no,Male,0
1166,5.8,81.3,9.7,64.7,Bachelor,No,F,0
1155,5.6,110.9,8.6,70.1,HIGH SCHOOL,Yes,Male,1
1370,3.5,104.1,5.3,58.8,Master,No,Male,1
1225,4.1,82.1,6.3,150.0,Master,No,Male,1
1110,,98.0,9.0,61.2,None,Yes,Female,1
1454,6.0,97.3%,9.9,55.2,Master,No,Female,1
1336,4.7,82.8,6.1,70.4,,Yes,Male,0
1357,5.0,70.0,5.8,85.9,Bachelor,no,Female,0
1301,3.3,91.3%,5.6,93.5,Bachelor,Yes,F,0
1228,2.8,84.2,6.3,77.1,Bachelor,no,female,1
1130,4.0,93.1,6.9,77.8,HIGH SCHOOL,No,male,0
1446,6.3,67.2%,5.7,59.5,Bachelor,no,Male,0
1212,7.3,78.8,5.6,63.2,High School,no,Female,1
1254,7.1,92.6,7.0,37.5,None,No,Female,0
1187,5.9,77.1,5.2,58.0,None,Yes,Male,1
1244,6.7,80.3,5.2,82.4,None,no,Male,0
1065,6.6,94.4,6.0,76.1,,No,Male,0
1152,5.7,93.5%,3.7,69.9,Master,Yes,Male,0
1299,6.6,80.3%,6.8,81.1,Master,Yes,Female,1
1486,2.2,66.1,7.7,72.7,High School,Yes,F,1
1067,4.9,55.5,4.8,66.0,HIGH SCHOOL,yes,m,1
1186,6.4,88.6,7.7,82.8,None,Yes,Female,1
1356,3.0,73.2,3.1,54.9,Bachelor,yes,Male,1
1387,5.7,87.0,8.2,52.9,Master,No,Male,1
1398,7.7,81.8,5.2,89.0,High School,No,Male,1
1470,,62.8,7.1,82.0,Bachelor,yes,F,1
1126,9.4,73.9,5.0,81.2,High School,Yes,Male,1
1203,7.2,71.5,6.7,74.5,Bachelor,No,Female,1
1120,6.5,82.7,,82.2,Bachelor,Yes,M,0
1499,3.2,73.1,7.8,62.6,Bachelor,Yes,male,0
1428,6.4,84.5,5.1,60.7,High School,No,Female,0
1042,5.3,66.4,5.9,91.6,Master,Yes,m,1
1400,7.5,70.2,5.6,60.6,Bachelor,no,Female,1
1482,,85.1%,6.0,44.3,Bachelor,No,Male,0
1288,6.2,85.5,7.2,53.7,,No,Male,0
1495,8.0,68.0,8.5,70.3,High School,Yes,Male,1
1445,2.4,102.2,7.0,74.3,Bachelor,No,F,0
1290,3.8,60.1,3.7,85.1,High School,No,M,1
1223,6.4,63.8%,,76.1,High School,Yes,Female,0
1465,4.8,78.9,5.7,73.3,High School,No,Female,1
1261,3.1,73.1,7.2,89.6,Bachelor,Yes,M,1
1098,5.5,68.3,3.9,95.9,Bachelor,Yes,Male,0
1127,3.0,68.1,6.9,58.3,None,yes,Female,1
1474,7.7,72.2,6.5,67.9,Bachelor,No,Male,1
1195,5.3,87.1,4.4,66.9,High School,no,female,0
1196,-3.0,76.3,7.1,94.1,High School,No,Male,1
1121,6.6,70.5,7.9,66.7,MASTER,No,Male,1
1420,5.1,82.3,7.2,57.9,Bachelor,No,M,0
1300,6.3,80.4,6.9,65.3,High School,yes,Female,1
1069,5.7,57.6,5.9,41.6,BACHELOR,No,Female,0
1404,5.1,95.3,7.4,70.5,Bachelor,No,Female,0
1154,5.5,66.7,4.8,59.7,None,no,Female,0
1034,2.9,65.5,7.3,62.8,None,No,Female,0
1391,3.2,89.8,7.1,73.2,None,No,Male,1
1257,7.5,85.9,8.7,62.9,Bachelor,Yes,m,0
1456,3.4,93.4,4.2,85.6,BACHELOR,Yes,Male,0
1108,5.3,65.1,5.1,89.4,Bachelor,no,M,1
1090,6.0,69.7,6.2,66.3,MASTER,No,male,0
1422,8.5,67.7,,76.2,Bachelor,Yes,M,1
1314,,82.4,7.2,78.5,High School,yes,Female,0
1112,4.9,79.3,6.8,41.6,Bachelor,yes,Female,0
1056,6.9,75.1,5.6,70.5,HIGH SCHOOL,No,male,1
1060,7.0,74.9,6.0,60.9,High School,Yes,Male,0
1079,5.2,62.3,8.5,54.0,High School,No,M,1
1218,4.5,81.8,6.9,67.9,None,Yes,male,0
1413,1.9,83.0%,7.1,74.6,High School,Yes,Female,0
1312,7.2,74.7,7.6,67.2,High School,No,F,0
1005,4.5,72.2,7.4,62.4,Master,Yes,F,1
1038,1.1,75.4,4.6,57.0,Bachelor,no,Male,0
1073,4.9,83.9,6.6,69.4,MASTER,Yes,Female,0
